SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q0512,Q0406,Q0503,Q0504,Q0509,Q0511,Q051102,Q051901,Q051902,Q051903,Q051904,Q051905,Q051906,Q051907
98,2,41,11,2,2,7,3,1,2024,4,1,1600,1, ,8,9,4,98,9, ,10, , , , , , , 
98,1,33,2,2,4,11,8,1,2023,1, ,5000,3, ,6, ,1, , ,6,6, , , , , , , 
98,1,61,15,2,6,9,4,1,2023,4,1,1600,1,5,8, ,2,98,8,9,8, , , , , , , 
98,1,53,16,2,5,5,3,1,2024,4,1,1600,1, ,9,9,3,6,9,9,9, , , , , , , 
98,1,34,1,2,4,5,3,1,2024,4,1,1600,1,5,8, ,10,98,7, ,6, , , , , , , 
98,1,41,2,1,7,7,7,1,2023,1, ,2500,3,7,9,8,1,6,9, ,9, , , , , , , 
98,2,44,1,2,5,5,2,1,2023,1, ,1000,1, ,6,7,4,97,7,7,6,1,2,1,1,1,2,2
98,1,44,8,2,4,7,7,1,2024,1, ,3600,3, ,5, , , , ,6,1, , , , , , , 
98,1,43,2,2,5,13,6,1,2023,1, ,3500,1,9,3,4, , , ,7,1, , , , , , , 
98,1,60,4,97,1,4,4,1,2024,1, ,2000,3, ,1,10,98,97,1,10,1, , , , , , , 
98,1,72,12,2,7,2,2,1,2023,1, ,1000, ,5,8,8,4,6,9,9,8, , , , , , , 
1,1,52,6,2,6,7,7,1,2024,4,1,1600,1,5,9,9,2,6,10,10,9, , , , , , , 
98,1,67,11,2,6,11,4,1,2023,1, ,2500,1, ,9,8,4,6,9,9,6, , , , , , , 
4,1,63,1,2,6,6,2,1,2023,2, ,2000,1,5,6,8,5,4,7,7,6, , , , , , , 
98,1,40,8,2,5,6,6,1,2023,4,2,4300,2, ,6,8,10,1,8,7,2, , , , , , , 
4,1,43,15,2,5,10,5,1,2024,1, ,1300,1, ,8,8,2,1,8, ,8, , , , , , , 
98,1,37,6,1,6,8,8,1,2024,5, , , , ,5, , , , ,6,6,1,1,1,1,1,1,1
98,1,57,10,2,6,9,5,1,2024,4,1,1600,1,9,10, ,2,3,10,10,10, , , , , , , 
98,2,63,8,2,6,8,1,1,2024,1, ,3500,1, ,10, ,2,6,10,10,10, , , , , , , 
98,1,42,8,2,5,6,4,1,2023,4,1,1600,1, ,7,7,4,6,7,7,6, , , , , , , 
98,1,41,9,2,4,6,6,1,2024,5, , , ,6,9,9, , , , ,9, , , , , , , 
98,1,48,12,2,5,7,6,1,2024,4,1,1600,1,5,9, ,5,98,10,10,7, , , , , , , 
3,1,51,11,2,5,7,6,1,2024,5, , , , ,7,7, , , ,8,6, , , , , , , 
98,1,55,8,2,6,11,6,1,2024,1, ,2000,1, ,9, ,3,4,10,10,10, , , , , , , 
98,1,44,15,2,4,5,3,1,2024,4,1,1600,1,7,10,8,4,98,7,8,9, , , , , , , 
98,1,42,1,2,4,8,3,1,2024,1, ,3800,3,7,9, ,3,6,9, ,9, , , , , , , 
98,1,49,8,2,5,7,4,1,2023,4,1,1600,1,6,8, ,10,97,8, ,8, , , , , , , 
4,1,46,9,2,5,5,3,1,2023,3, ,2200,1,6,10,10,4,6,10, ,10, , , , , , , 
5,1,59,8,2,6,11,8,1,2023,1, ,3500,1,9,9,7,4,1,9,9,8, , , , , , , 
98,1,66,7,2,7,5,4,1,2023,1, ,1600,1, ,7,8, , , ,8,6, , , , , , , 
3,2,48,5,2,5,8,3,1,2023,4,1,1600,1, ,9,9,4,6,9,9,10, , , , , , , 
5,1,38,11,2,4,4,3,1,2024,4,1,1600,1,7,10,10,1,6,10,10,8, , , , , , , 
5,1,48,14,2,6,6,6,1,2023,1, ,3800,1,7,7,9,3,97,9,8,8, , , , , , , 
98,1,34,4,2,2,6,4,1,2024,1, ,1300,1, ,9,9,3,98,10, ,8, , , , , , , 
98,1,42,11,2,5,9,5,1,2023,4,1,1600,1,6,5,7,10,1,5, ,5, , , , , , , 
5,1,43,10,2,5,5,5,1,2023,1, ,1000,1, ,4, , , , ,8,8,1,1,2,2,2,2,2
2,1,56,7,2,6,11,10,1,2024,1, ,2000,1, ,8,10,2,3,10,10,8, , , , , , , 
98,2,31,8,1,1,2,2,1,2024,1, ,1000, ,5,5, ,98,98,6, ,5, , , , , , , 
1,1,35,1,2,4,9,4,1,2023,5, , , , ,7,6,12,98,8,8,9,1,1,1,2,1,2,1
98,1,42,1,2,5,6,5,1,2023,1, ,2000,1, ,6,7,1,3,8,8,6, , , , , , , 
98,1,49,1,2,2,9,7,1,2024,4,1,1600,1,5,5,7,4,7,7,6,3, , , , , , , 
3,2,59,1,2,6,10,5,1,2024,1, ,2000,3, ,6,5,9,5,5,6,5, , , , , , , 
5,1,46,12,2,3,4,4,1,2024,5, , , , ,9,9,8,6,8,9,7,1,1,1,1,1,1,1
98,1,63,9,2,6,99,99,1,2024,1, ,3000,3, ,9,10,4,4,9,9,9, , , , , , , 
4,1,57,3,2,6,4,4,1,2023,4,1,1600,1,6,8,7,98,6,8,8,9, , , , , , , 
98,2,33,8,1,1,3,3,1,2024,1, ,1600,1, ,5,4,8,98,5,6,4, , , , , , , 
3,1,54,8,2,6,9,9,1,2024,4,1,1600,1, ,6, , , , ,6,6, , , , , , , 
3,1,55,3,2,6,6,4,1,2023,4,1,1600,1, ,9,9,3,6,10,9,9, , , , , , , 
98,1,44,8,2,5,6,4,1,2024,3, ,2200,1,7,9,8,4,98,9,9,9, , , , , , , 
98,1,43,1,2,4,6,5,1,2023,5, , , , ,6,4,98,98,7,7,4,1,1,1,1,2,1,2
98,1,48,4,2,5,9,5,1,2024,4,1,2000, , ,9,9,2,3,10,9,8, , , , , , , 
98,1,48,8,2,4,3,3,1,2024,4,1,1600,3, ,9,9,3,98,9,9,8, , , , , , , 
98,1,53,12,2,6,5,4,1,2023,1, ,2000,1, ,5,8,4,98,7,6,5, , , , , , , 
5,1,41,9,97,5,4,4,1,2023,4,1,1600,1,6,6, ,2,97,7,7,7, , , , , , , 
5,1,35,15,2,4,7,3,1,2023,1, ,1300,1, ,9,9,2,2,10, ,10, , , , , , , 
5,2,24,10,1,1,99,99,1,2023,1, ,1000, ,5,9,9,4,98,10,9,8, , , , , , , 
2,2,71,1,2,7,9,2,1,2024,4,1,1600,1, ,7, ,3,2,8,8,7, , , , , , , 
2,1,54,14,2,6,6,5,1,2023,3, ,1600,1, ,4,5,3,98,4,5,3, , , , , , , 
2,1,35,14,2,4,5,3,1,2023,4,1,1600,1,7,6, ,2,98,8, ,5, , , , , , , 
4,2,39,1,1,6,8,5,1,2023,1, ,1600,1, ,8, , , , ,9,9,1,1,1,1,1,1,1
5,1,50,1,97,5,5,5,1,2023,2, ,3500,3, ,5, ,11,98,6,4,6, , , , , , , 
2,1,39,8,2,3,5,4,1,2023,1, ,1500,1, ,6,8,3,98,8, ,7, , , , , , , 
2,2,54,1,2,6,5,5,1,2023,1, ,3500,3, ,9,9,2,7,9,9,9, , , , , , , 
98,1,59,1,2,6,4,3,1,2024,3, ,2200,1,9,5, ,3,98,6, ,5, , , , , , , 
98,2,36,8,1,6,6,2,1,2024,1, ,1600,1, ,6,6,3,98,6,7,6, , , , , , , 
5,2,47,8,2,3,5,2,1,2023,1, ,2500,3, ,7,8,3,6,8,9,8,1,1,1,1,1,1,1
5,2,25,8,1,6,11,3,1,2024,4,1,1600,3,5,10, ,12,98,10,10,10, , , , , , , 
98,1,48,7,1,6,7,4,1,2024,1, ,1600, , ,8,10,2,6,9,9,8, , , , , , , 
4,1,62,8,2,6,3,3,1,2023,1, ,1300, , ,6,6,12,6,7, ,7, , , , , , , 
3,2,32,11,2,2,7,4,1,2023,5, , , , ,5, , , , ,10,6,1,1,2,2,2,1,1
4,1,52,6,97,6,4,3,1,2023,5, , , , ,5,5,4,3,5, ,1,2,1,2,2,2,1,2
3,1,48,8,2,5,8,6,1,2023,1, ,2500,1, ,8,6,4,98,7,7,7, , , , , , , 
98,1,37,15,2,4,3,3,1,2024,1, ,1500,1, ,5,6,4,98,1, ,3, , , , , , , 
5,1,50,15,2,5,7,5,1,2023,5, , , ,7,8, ,2,1,8, ,8, , , , , , , 
98,1,55,8,2,5,7,7,1,2024,4,1,1600,1,7,9,8,4,6,8,8,8, , , , , , , 
98,1,56,2,97,1,11,11,1,2024,1, ,2500,1, ,7, ,2,98,8,8,8, , , , , , , 
98,1,43,1,1,1,5,5,1,2024,5, , , , ,10, ,3,98,10,10,10, , , , , , , 
98,1,64,15,2,7,5,5,1,2023,5, , , , ,8,7,3,98,9,9,8, , , , , , , 
5,1,44,5,2,4,12,11,1,2024,5, , , , ,6, ,12,98,6, ,5,2,1,1,2,1,1,2
98,1,36,15,2,4,9,6,1,2024,1, ,3000,3, ,9,9,4,6,10,9,10, , , , , , , 
1,1,48,2,2,5,8,4,1,2023,1, ,3500,1,9,8, ,11,5,7,7,7, , , , , , , 
98,2,40,16,1,7,2,2,1,2023,1, ,1000,1, ,8,8, , , ,8,8,1,1,1,1,2,1,1
98,1,51,6,2,5,7,7,1,2024,1, ,2500,1, ,8,8,3,97,8, ,8, , , , , , , 
98,1,55,8,2,6,5,5,1,2024,1, ,1600, , ,9,9,8,7,10, ,10, , , , , , , 
5,1,33,4,2,4,5,4,1,2023,4,1,1600,1,6,9,9,4,3,9,9,9,2,2,1,1,1,1,1
98,2,55,14,1,1,2,2,1,2023,5, , , , ,8, ,2,6,8,8,7, , , , , , , 
3,2,43,1,2,3,8,1,1,2024,5, , , , ,4,6, , , ,3,2,1,1,2,2,2,1,1
5,1,46,8,2,4,4,4,1,2023,1, ,2500,1, ,5, ,3,6,9,9,9, , , , , , , 
98,1,65,8,2,6,9,6,1,2023,1, ,2500,1, ,7, ,2,98,6,6,6, , , , , , , 
4,1,46,8,2,5,8,6,1,2023,1, ,1000, ,5,5,8,4,98,8,7,4, , , , , , , 
1,1,43,1,2,3,10,5,1,2024,1, ,2500,3, ,7,9,4,98,10,7,9, , , , , , , 
98,2,65,8,97,1,4,4,1,2024,1, ,1600, , ,10,9,8,98,10,10,10, , , , , , , 
5,1,51,8,2,6,10,8,1,2023,4,1,1600,1, ,6,5,12,98,8,8,5, , , , , , , 
98,1,39,1,2,4,10,7,1,2023,4,1,1600,1,6,7, ,11,6,9, ,4, , , , , , , 
98,1,60,1,2,6,7,4,1,2024,1, ,1600,1, ,9, ,2,6,9,9,9, , , , , , , 
98,1,51,1, , , , ,1,2023,4,1,1600,1, ,10,7,3,3,10,10,10, , , , , , , 
98,1,52,10, , , , ,1,2023,1, ,2000,3, ,8,9,4,6,9,8,9, , , , , , , 
1,1,36,1,2,4,11,7,1,2024,1, ,2000,3, ,5,4,9,2,5,5,5, , , , , , , 
98,1,39,8,1,1,3,3,1,2024,5, , , , ,6,7, , , ,7,6, , , , , , , 
98,1,56,3,2,6,7,6,1,2024,4,1,1600,1,5,6, ,3,6,7, ,5, , , , , , , 
98,1,56,12,2,6,13,13,1,2024,1, ,2500,3,5,7, ,2,6,8, ,7, , , , , , , 
98,1,62,13,2,6,10,8,1,2023,4,1,1600,1, ,8,8,4,3,8,8,8, , , , , , , 
98,1,45,8,97,5,6,6,1,2024,1, ,3000,1, ,6, ,10,1,8,6,5, , , , , , , 
98,1,54,6,97,1,5,5,1,2024,4,1,1600,1, ,10,10,3,6,10,10,10, , , , , , , 
1,2,44,15,2,5,6,4,1,2024,3, ,2200,2,5,9,8,2,7,8,9,9, , , , , , , 
1,1,56,1,1,1,11,11,1,2023,1, ,1600,1, ,10,7,4,6,9, ,8, , , , , , , 
98,2,43,8,2,5,5,4,1,2024,3, ,2200,3,7,8,8,4,6,9, ,10, , , , , , , 
98,1,55,8,2,6,10,7,1,2024,4,1,1600,1,5,6,8,2,6,9,8,8, , , , , , , 
2,1,46,3,2,5,5,5,1,2023,1, ,1600, , ,7,7,7, , , ,7, , , , , , , 
98,1,49,8,2,5,5,5,1,2023,1, ,2500,1, ,8,8,4,98,8,8,7, , , , , , , 
4,1,53,16,2,5,6,4,1,2024,5, , , ,5,8,9,1,6,10,9,9, , , , , , , 
98,1,38,8,2,4,6,3,1,2023,3, ,3000,2, ,1,5,4,98,4,3,2, , , , , , , 
2,1,38,11,2,4,5,5,1,2024,1, ,2000, , ,10,10,2,97,10,10,10, , , , , , , 
5,1,48,12,2,5,9,5,1,2023,4,1,1600,1,7,9,8,4,5,8,9,9, , , , , , , 
98,2,38,16,2,5,10,5,1,2023,5, , , , ,10,10,3,6,10,10,10, , , , , , , 
5,1,57,10,2,7,12,5,1,2023,1, ,1600,1, ,6,7,9,2,7,6,6,1,1,2,1,1,1,1
98,1,62,10,2,6,6,2,1,2024,4,1,1600,1,5,8,8,2,98,9, ,8, , , , , , , 
98,1,54,15,2,6,4,3,1,2024,1, ,1600, , ,9,8,2,6,9,9,9, , , , , , , 
98,2,51,7,2,5,6,98,1,2024,1, ,1000,1, ,7, ,9,98,10,10,10,1,1,1,1,2,1,1
1,1,74,11,2,6,4,4,1,2024,1, ,1600, , ,9,9,2,6,10,9,9, , , , , , , 
1,1,55,1,2,6,6,3,1,2024,1, ,2500,3, ,8,8,8,98,9,9,9, , , , , , , 
2,1,49,1,2,3,7,4,1,2023,1, ,2000,1, ,7,7,4,98,8,7,6, , , , , , , 
5,2,37,8,2,4,11,3,1,2024,4,1,1600,3, ,8, ,3,98,9, ,8, , , , , , , 
98,2,50,10,2,6,10,1,1,2024,1, ,3000,3,5,8, ,4,7,9,9,8, , , , , , , 
98,1,63,2,2,7,5,5,1,2023,1, ,1600,1, ,6, ,8,5,6,7,5, , , , , , , 
98,1,39,8,2,4,8,3,1,2023,1, ,2000,3, ,5,8,9,3,7,6,1, , , , , , , 
98,1,39,8,2,4,4,3,1,2024,4,1,1600,1,6,8, , , , ,8,8, , , , , , , 
98,1,42,8,2,2,2,2,1,2023,4,1,1600,1, ,9,8,3,6,9,9,9, , , , , , , 
98,1,52,1,2,5,10,5,1,2024,4,1,2500,1, ,9,8,98,98,10,10,10, , , , , , , 
98,1,48,1,2,3,10,5,1,2024,5, , , , ,8,9, , , ,6,5,1,1,1,1,1,1,1
98,2,50,10,2,5,6,1,1,2024,1, ,1000,1, ,9,9,4,6,9,10,8,1,1,1,1,1,1,1
4,1,59,14,2,6,8,8,1,2023,4,1,1600,1, ,8,9,4,4,9, ,9, , , , , , , 
98,1,36,1,1,1,5,5,1,2023,1, ,2000,3, ,10,10,2,4,9,9,10, , , , , , , 
98,1,70,1,2,7,10,3,1,2024,1, ,2000,3, ,10,10,4,1,10,10,10, , , , , , , 
2,1,42,8,2,5,12,11,1,2024,3, ,2000,3, ,9,10,11,4,8,9,8, , , , , , , 
98,2,38,2,1,6,2,4,1,2024,1, ,1000, ,5,6, , , , , ,6, , , , , , , 
2,1,62,11,2,6,12,11,1,2024,1, ,3500,3, ,8,8,1,6,8, ,8, , , , , , , 
4,1,52,8,2,5,8,7,1,2024,2, ,2000,1,5,8,9,8,4,10,9,8, , , , , , , 
98,1,38,11,2,5,9,7,1,2023,1, ,2000,1, ,7,8,4,1,9,8,5, , , , , , , 
98,1,61,1,2,6,7,3,1,2023,1, ,2500,3,7,5,5,4,98,6,5,4, , , , , , , 
5,1,29,13,2,4,3,3,1,2023,1, ,1600,1, ,6,2,4,6,1,2,2, , , , , , , 
98,1,59,8,2,6,4,4,1,2024,1, ,2000,3, ,9,6,8,3,9,9,9, , , , , , , 
5,1,57,8,2,6,5,5,1,2023,1, ,2500,1,5,8,7,8,98,8,8,7, , , , , , , 
98,1,57,11,2,6,10,10,1,2024,4,1,1600,1,7,9, ,2,3,10,10,9, , , , , , , 
1,2,47,3,2,5,6,2,1,2023,2, ,2000, , ,7,8,4,6,7,7,7, , , , , , , 
98,1,48,4,2,5,4,4,1,2024,6, , ,1, ,8,9,4,98,9,9,8, , , , , , , 
98,1,50,8,2,5,7,5,1,2024,4,1,1600,1, ,6,7,4,6,7,7,6, , , , , , , 
98,2,29,1,1,6,8,5,1,2023,1, ,1600, , ,9, ,98,3,10,10,8, , , , , , , 
98,1,46,3,2,5,7,7,1,2024,1, ,2500,1,5,10,10,4,98,10, ,10, , , , , , , 
98,1,37,5,2,5,4,4,1,2024,1, ,1300,1, ,9,9,4, , ,8,9, , , , , , , 
5,1,74,4,2,5,5,3,1,2024,1, ,2000, , ,8,9,98,98,9,9,9, , , , , , , 
98,1,72,15,2,7,3,3,1,2023,1, ,1000,1, ,4, , , , , ,3,2,2,2,2,2,1,2
98,1,44,14,2,5,4,4,1,2024,1, ,1600,1, ,5,7,4,98,6,6,6, , , , , , , 
5,2,54,8,2,6,8,2,1,2023,5, , , ,7,1,2,4,98,2,4,2, , , , , , , 
98,1,45,6,2,3,3,3,1,2023,1, ,1300,1, ,6,7, , , , ,6, , , , , , , 
1,1,47,3,2,5,8,5,1,2024,1, ,3000,3, ,10,10,8,1,10,10,9, , , , , , , 
98,1,47,8,2,5,4,4,1,2024,4,1,1600,1, ,8,7,4,98,7, ,7, , , , , , , 
98,1,44,4,2,3,6,4,1,2024,3, ,3000,1, ,8,9,4,6,8,9,8, , , , , , , 
98,1,60,3,2,7,6,6,1,2024,4,1,1600,1,5,10, ,98,98,10, ,9, , , , , , , 
98,2,49,12,1,1,4,4,1,2024,4,1,1600,1, ,8,9,2,3,9,9,9, , , , , , , 
5,1,53,1,2,5,8,5,1,2024,1, ,3600,3, ,8,7,4,98,8,8,7, , , , , , , 
1,1,53,12,2,6,5,2,1,2023,3, ,2200,1,8,5, , , , , ,3, , , , , , , 
98,1,74,6,2,7,11,11,1,2024,1, ,2000,3, ,8,8,11,6,8,8,8, , , , , , , 
98,1,69,12,2,7,4,3,1,2023,4,1,1600,1, ,10,9,3,6,10,10,10, , , , , , , 
98,1,72,10,2,7,4,4,1,2024,1, ,2500,1,7,9, ,2,98,10,8,10, , , , , , , 
1,2,36,1,2,4,4,2,1,2024,5, , , , ,6,6,2,7,7,5,7, , , , , , , 
4,2,43,8,1,1,2,2,1,2023,1, ,2000,1, ,6,4,8,7,5,5,3, , , , , , , 
98,1,55,8, , , , ,1,2023,1, ,2500,1, ,9,9,4,98,10,8,8, , , , , , , 
98,1,68,12, , , , ,1,2023,1, ,1600,1, ,7,8,2,3,8, ,8, , , , , , , 
98,2,32,8,1,1,8,8,1,2024,1, ,2000,3, ,6,5, , , , ,6, , , , , , , 
98,1,48,7,2,3,99,99,1,2024,1, ,2500,1,5,5, ,98, , , ,3, , , , , , , 
98,1,58,8,2,7,8,8,1,2024,4,1,1600,1, ,4,8,4,98,5, ,5, , , , , , , 
98,1,51,1,2,5,3,3,1,2023,1, ,1300,1, ,2,3,98,98,3, ,1, , , , , , , 
98,1,46,14,2,5,5,5,1,2023,4,1,1600,1, ,7,6,1,2,6,6,7,1,1,1,1,1,1,1
98,1,58,5,2,6,6,6,1,2023,4,1,1600,1,5,8,8,3,98,9,9,8, , , , , , , 
2,1,47,8,2,5,9,8,1,2023,5, , , , ,10, ,2,6,10,10,10, , , , , , , 
98,1,59,13,2,6,5,4,1,2024,2, ,3500,1,9,9,9,1,6,10,9,9, , , , , , , 
98,2,43,15,2,5,11,1,1,2023,4,1,1600,1, ,9,9,4,98,9,9,9, , , , , , , 
5,2,27,8,1,6,7,98,1,2023,1, ,1500,1, ,10, ,7,6,10,10,10, , , , , , , 
5,1,43,8,2,5,8,5,1,2023,1, ,2500,1, ,10,10,10,98,10,10,10, , , , , , , 
5,1,51,8,2,6,10,10,1,2024,1, ,2500,3,5,6,6,1,1,5, ,5, , , , , , , 
98,2,49,8,2,5,8,2,1,2024,5, , , ,5,8,8,2,98,9,6,5, , , , , , , 
5,1,62,7,2,6,11,3,1,2024,1, ,2500,1, ,8,10,2,6,10,10,5, , , , , , , 
98,2,59,5,2,7,9,3,1,2024,1, ,3800,3,7,8,9,2,3,10, ,10, , , , , , , 
98,1,46,6,2,5,7,7,1,2023,1, ,3800,3,7,8, ,11,98,10,10,10, , , , , , , 
2,1,59,2,2,6,4,4,1,2023,1, ,2500,1,5,8,8,2,2,8,8,8, , , , , , , 
98,1,42,8,1,1,8,8,1,2024,4,1,2000, , ,6,7, , , ,6,7, , , , , , , 
3,1,51,8,2,5,5,3,1,2023,1, ,1500,1, ,7,7,4,97,7, ,6, , , , , , , 
3,1,63,8,2,6,11,7,1,2024,1, ,2500,1, ,7,8,4,6,7, ,5, , , , , , , 
2,1,42,1,1,1,3,3,1,2024,5, , , , ,3,5,10,1,4,4,4,2,1,1,2,1,2,1
1,1,49,1,2,5,8,6,1,2024,1, ,2500,1,6,7, ,11,98,7, ,6, , , , , , , 
98,1,51,11,2,5,10,8,1,2024,3, ,2200,1,7,8,8,4,98,8,8,8, , , , , , , 
4,2,63,3,2,6,5,5,1,2023,1, ,2000,3, ,4,6,8,98,3,5,5, , , , , , , 
98,1,48,8, , , , ,1,2023,1, ,2000,1, ,7,7,3,98,7,7,7, , , , , , , 
1,1,45,15,2,2,10,5,1,2024,3, ,3000,3, ,10, ,2,3,10,10,10, , , , , , , 
98,1,45,1,2,4,10,7,1,2023,1, ,3000,3, ,8,10,3,7,10, ,6, , , , , , , 
5,2,40,14,2,5,7,3,1,2023,5, , , , ,7,7,7,97,7,8,7, , , , , , , 
98,1,44,14,2,5,7,4,1,2023,4,1,2000,1, ,6,6,10,7,7,6,7, , , , , , , 
2,2,37,1,2,4,10,5,1,2023,4,1,2000,3, ,8,8,4,98,9,9,8, , , , , , , 
98,1,42,11,2,5,7,5,1,2024,3, ,2200,1,7,7, ,3,98,7,5,6, , , , , , , 
98,2,48,8,2,5,9,4,1,2023,3, ,2200,1,7,8,9,4,98,9,9,10, , , , , , , 
4,1,34,1,1,1,5,5,1,2024,5, , , , ,9,8,4,2,7,9,10, , , , , , , 
5,1,44,1,2,5,6,6,1,2024,1, ,1000,1, ,8,9,9,6,9,5,6,1,1,1,1,1,1,1
2,1,42,3,2,4,3,3,1,2023,1, ,1000, ,5,5, ,2,7,5, ,1, , , , , , , 
98,1,42,1,2,4,11,11,1,2023,1, ,2000,1, ,3,8,4,98,1,3,1, , , , , , , 
98,2,56,14,2,6,6,2,1,2023,4,1,1600,1, ,5, ,3,4,7,5,5, , , , , , , 
5,1,55,1,2,6,4,4,1,2024,4,1,1600,1,6,8,9,2,6,9, ,9,1,1,2,2,1,1,2
5,1,62,11,2,6,4,4,1,2023,1, ,1000, ,5,10,9,4,6,10,10,10, , , , , , , 
98,2,39,6, , , , ,1,2024,4,1,1600,1,9,6,7,3,98,9,8,9, , , , , , , 
98,1,49,13,2,5,7,5,1,2023,5, , , , ,7,8,2,7,9,9,8, , , , , , , 
5,2,58,9,1,1,5,5,1,2024,1, ,1600,1, ,10,8,2,2,9,9,9, , , , , , , 
