SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q480101,Q480102,Q480103,Q480104,Q480105,Q480106,Q480107,Q480108,Q490101,Q490102,Q490103,Q490104,Q490105,Q490106,Q490107,Q490108
4,2,36,1,1,7,3,2,1,2022,1, ,1000,1, ,2,3,5, , , , , ,2,2,1,2,2,1,2,1
5,1,71,8,2,7,11,11,1,2022,3, ,2200,1,9,4,5,3, , , , , ,1,2,1,1,2,2,2,1
98,1,37,12,2,3,5,3,2,2024,5, , , , ,4,6, , , , , , ,1,2,1,1,2,2,1,1
98,1,58,11,2,6,9,5,1,2019,3, ,2000,1,5,2,3,7, , , , , ,1,2,1,2,2,1,2,1
2,2,47,13,1,7,5,5,2,2014,3, ,2000,1, ,2,8,1,4, , , , ,1,1,1,1,2,2,2,1
4,1,30,6,1,1,3,3,2,2020,3, ,2000,1, ,6,3,5, , , , , ,1,2,1,1,2,2,2,1
3,1,37,8,2,4,6,3,2,2013,1, ,1000, ,5,5,2, , , , , , ,1,1,2,2,2,2,2,1
1,1,56,11,1,1,4,4,1,2018,1, ,1600, , ,1,6,8, , , , , ,2,1,2,2,1,2,2,1
98,1,54,4,2,5,4,2,2,2016,3, ,2000,1, ,3,5,2, , , , , ,1,2,2,2,2,2,1,1
2,2,67,17,97,1,4,4,1,2013,1, ,3300,1, ,5,1,4,2, , , , ,1,1,2,1,2,1,2,1
2,1,40,1,1,1,4,4, , , , , , , ,2, , , , , , , ,1,1,2,2,2,2,2,1
1,2,38,4,1,1,2,2,2,2023,1, ,3000,1, ,1,3,2, , , , , ,1,2,1,2,2,2,1,2
3,1,45,8,2,3,6,6,1,2021,4,1,1600,1, ,4,8,3, , , , , ,2,1,1,1,2,1,2,1
3,1,55,1,2,6,5,4,1,2017,1, ,2400,1, ,3,5, , , , , , ,1,2,1,2,2,2,2,1
3,2,27,1,1,6,9,4,2,2021,3, ,1500,1, ,5,3,2, , , , , ,1,2,2,2,2,2,2,1
2,1,60,14,97,6,2,1, , , , , , , ,5,2,3,4,7, , , ,1,2,1,2,2,1,2,1
2,1,48,3,2,6,3,3,1,2016,3, ,1500,1, ,5,3,2, , , , , ,1,2,2,2,2,2,2,1
4,1,67,10,2,7,5,3, , , , , , , ,2,3, , , , , , ,1,2,1,2,2,1,2,1
1,1,38,8,2,4,4,4,2,2023,1, ,1400, , ,7,3,2,4,5, , , ,1,2,1,2,1,2,1,1
98,2,37,15,1,1,2,2,2,2020,1, ,1500,1, ,3,7,2, , , , , ,1,2,1,2,2,1,2,1
98,1,68,14,2,6,5,5,1,2013,3, ,2000,2, ,8,3,5, , , , , ,1,2,2,2,2,2,2,2
98,1,46,8,97,5,4,3,1,2019,4,1,2000, , ,4,3,5,2, , , , ,1,1,1,2,2,1,2,1
98,1,53,13,2,6,5,3,1,2013,1, ,3300,1, ,8,3, , , , , , ,1,1,2,2,2,2,2,1
2,1,72,12,2,7,4,4,1,2015,1, ,1500,1, ,3,5, , , , , , ,1,2,1,2,2,1,2,1
4,1,44,15,2,3,8,5,1,2023,5, , , , ,2,3,5, , , , , ,1,2,1,2,2,2,2,1
2,2,47,2,2,5,6,3,1,2021,1, ,2000,1, ,8,7,4, , , , , ,2,1,1,1,1,2,1,2
5,1,39,8,2,4,8,8,1,2019,1, ,3000,1, ,5,3,7, , , , , ,2,1,1,2,2,2,2,1
5,1,43,6,2,4,4,4,1,2018,1, ,2400,1, ,3, , , , , , , ,2,2,1,2,2,2,2,1
4,1,38,13,2,4,6,4,2,2018,5, , , , ,2,3, , , , , , ,2,2,2,2,2,1,2,2
98,1,40,15,1,6,5,3,1,2023,1, ,1600,1, ,3, , , , , , , ,2,2,1,1,2,2,2,1
5,1,35,1,1,1,6,6,2,2024,1, ,1600, , ,7,3,6,2,5, , , ,1,2,1,2,2,2,2,1
98,1,38,15,2,4,6,5,2,2022,2, ,2000, , ,98, , , , , , , ,1,2,2,2,2,1,2,1
2,1,67,9,2,7,4,3,2,2016,2, ,2000, , ,2,5, , , , , , ,1,1,2,2,2,2,2,1
4,1,48,8,2,6,8,8,1,2020,4,1,2400,1, ,3,6,7, , , , , ,1,2,1,2,1,2,2,1
98,1,34,2,1,6,8,2,1,2017,1, ,2000,1, ,2,8,5,3,4,6,1,7,1,2,1,2,2,2,2,2
98,1,57,3,2,5,6,3,1,2022,4,1,1600,1,5,3,2,5, , , , , ,1,2,1,2,2,1,2,1
2,2,52,8,1,6,3,3,2,2018,1, ,1400, , ,2, , , , , , , ,1,2,1,2,2,1,2,1
98,1,36,15,2,4,3,3,1,2017,1, ,1600, , ,3,2, , , , , , ,1,2,1,2,2,2,2,1
4,1,44,4,2,5,4,3,1,2015,3, ,2200,1,9,2, , , , , , , ,1,2,1,1,2,2,2,1
98,1,62,1,2,6,3,3,2,2024,1, ,5001,3, ,3, , , , , , , ,1,1,1,2,2,2,2,1
98,1,41,5,1,1,3,3,1,2023,1, ,2500,1, ,3,2,4,7,5, , , ,1,2,1,2,1,1,2,2
2,1,61,1,2,6,7,3,1,2018,1, ,2000, , ,5, , , , , , , ,1,2,2,2,2,2,2,1
5,1,57,8,2,6,7,6,1,2020,1, ,2500,3, ,7,5,2,3, , , , ,1,2,2,1,2,1,2,1
2,1,59,1,1,6,6,6,2,2017,1, ,2400,1, ,4,5,1,3,2,8, , ,2,2,1,2,2,1,2,1
2,1,56,8,2,6,7,5,1,2016,3, ,2200,1,7,5, , , , , , , ,1,1,2,2,2,2,2,1
4,1,66,12,2,7,9,7,1,2016,1, ,3800,3, ,5,2, , , , , , ,1,2,2,2,2,1,2,1
4,2,50,8,2,5,4,2,1,2013,1, ,2400, , ,5,2,3,4,7, , , ,2,1,1,2,2,1,2,1
2,1,43,2,2,2,7,4,1,2015,3, ,2000,1, ,6,7,3, , , , , ,1,2,1,1,2,1,2,1
98,1,53,8,2,5,8,7,1,2019,3, ,2000,2,7,3,2, , , , , , ,1,1,2,2,2,2,2,1
4,1,50,1,2,6,6,6,2,2018,1, ,3500,1, ,7,2,3,5,6, , , ,1,2,2,2,2,2,2,1
2,1,37,2,2,4,6,6,1,2015,1, ,2000, , ,5, , , , , , , ,1,2,1,2,2,1,2,1
2,1,44,8,2,5,9,4,2,2016,3, ,2000,1,5,3,6,1,8,7,4,2, ,2,2,1,1,1,1,1,1
4,1,49,1,2,5,12,10,1,2022,1, ,3500,3, ,7,5,3,6, , , , ,1,2,1,2,2,1,2,1
98,1,59,8,2,7,7,5,1,2015,1, ,2400,1, ,2,5,3, , , , , ,2,2,2,2,2,2,2,1
98,1,51,5,2,5,99,99,1,2014,1, ,2400,1, ,7,5,3,4,2, , , ,1,1,1,1,2,2,2,1
4,1,44,8,2,5,10,6,1,2021,4,1,2400,1, ,5,7,6,3,2, , , ,1,2,1,1,2,1,2,1
2,1,42,6,2,5,5,4,1,2017,1, ,2000, , ,3,4, , , , , , ,1,2,1,2,2,2,2,1
5,2,29,12,1,1,6,6,1,2022,5, , , , ,3,4,7,1,5, , , ,1,2,1,1,2,2,2,1
5,1,52,1,2,5,10,10,1,2019,1, ,2000,1, ,2,4,5,3, , , , ,1,1,2,2,2,1,2,1
1,1,53,8,2,6,11,11,1,2017,3, ,2200,1,9,4,6, , , , , , ,1,2,1,1,2,1,2,1
5,1,41,12,2,5,5,3,2,2021,1, ,1000, , ,2, , , , , , , ,1,2,2,2,2,2,2,1
2,1,49,1,2,5,10,5,1,2017,2, ,2000,1, ,7,3, , , , , , ,1,2,2,2,2,2,2,1
3,1,56,8,2,6,7,7,1,2022,5, , , , ,4, , , , , , , ,1,2,1,1,2,2,2,1
1,1,41,16,2,4,10,6,1,2018,1, ,2400,1, ,6,3,4,7, , , , ,2,2,1,1,2,2,2,1
4,1,49,8,2,3,4,4,2,2016,3, ,2000,1,7,5,2,3, , , , , ,2,1,1,2,2,2,2,1
98,1,44,9,1,6,99,3,1,2023,1, ,1000, ,5,5, , , , , , , ,2,1,2,2,2,2,2,1
5,1,64,4,2,6,8,8,2,2021,1, ,3800,3, ,3, , , , , , , ,1,2,1,2,2,1,2,1
5,1,49,8,2,5,10,10,1,2022,4,2,2000,3, ,7,3,2,6, , , , ,1,2,1,2,2,2,2,1
4,1,64,10,2,7,7,4,1,2013,2, ,2000, , ,5,2, , , , , , ,1,2,1,2,2,1,2,1
4,1,53,6,2,6,7,7,1,2013,1, ,2000, , ,4, , , , , , , ,1,1,2,2,2,2,2,1
3,1,63,1,2,7,4,4,1,2018,3, ,1500,1, ,3,5,2, , , , , ,1,1,2,2,2,2,2,1
3,1,47,8,2,5,6,6,1,2014,3, ,2000,2, ,2,3, , , , , , ,1,2,1,2,2,2,2,1
98,1,45,5,1,1,2,2,2,2022,1, ,3000,1, ,5,2, , , , , , ,1,2,2,2,2,1,2,1
4,1,45,2,2,4,10,4,1,2021,1, ,2500,3, ,6,5, , , , , , ,2,2,1,2,2,1,2,1
98,1,64,15,2,6,5,5,1,2013,3, ,1700, , ,2,7,6, , , , , ,1,2,1,2,1,2,2,1
4,1,54,1,2,6,10,5,1,2016,3, ,2200,1,7,1,3,4,5,2,7, , ,1,2,1,2,2,2,2,1
2,1,63,8,97,6,7,4,2,2019,1, ,2000, , ,3,2, , , , , , ,1,2,2,2,2,1,2,1
5,2,56,12,2,6,6,6,1,2024,1, ,1500,1, ,3,4,2,5, , , , ,1,2,2,2,2,2,2,2
5,1,45,8,2,5,5,5,1,2018,1, ,3300,1,9,5,2,3, , , , , ,2,2,2,2,2,2,2,1
2,1,48,8,2,5,4,4,1,2020,6, , ,1, ,4,5,3, , , , , ,1,2,1,2,2,1,2,2
4,1,45,1,2,5,6,6,1,2021,1, ,2500,1, ,4,7,1, , , , , ,1,1,1,2,2,2,2,1
4,1,60,8,2,6,9,5,1,2013,1, ,2400,1, ,7,3,4,5, , , , ,1,2,1,2,2,1,2,1
5,2,29,1,1,6,10,4,1,2016,3, ,2200,1,5,5,7,3,6,2, , , ,1,2,1,2,2,2,2,1
98,2,45,8,2,5,6,2,1,2023,1, ,2500,1,6,1, , , , , , , ,1,2,2,1,2,2,2,1
5,1,68,1,97,6,11,5,1,2022,1, ,1600,1, ,2, , , , , , , ,1,2,2,2,2,2,2,1
98,1,44,4,2,4,6,6,1,2023,5, , , , ,3,8,4, , , , , ,2,2,2,1,2,2,2,1
1,1,42,1,2,2,9,5,1,2018,1, ,2000,1,5,5,3, , , , , , ,1,2,1,2,2,2,2,1
98,1,52,1,2,5,6,3,1,2023,3, ,3500,1,9,3,5, , , , , , ,1,1,1,2,2,1,2,1
4,2,48,9,97,6,3,3,2,2022,3, ,1800, , ,2, , , , , , , ,1,2,2,1,2,2,2,1
98,1,65,4,2,7,6,5,1,2017,1, ,2400,1, ,2, , , , , , , ,1,2,2,2,2,2,2,1
98,1,54,17,2,5,99,8,1,2020,4,1,2000, , ,98, , , , , , , ,1,2,2,2,2,2,2,1
4,1,58,3,2,6,3,3,2,2020,3, ,2000,1, ,4,7, , , , , , ,2,2,2,1,2,2,1,1
5,2,53,1,1,1,3,3,2,2013,1, ,2000, , ,5,6, , , , , , ,2,1,2,2,2,2,2,1
5,1,56,5,2,6,5,4,2,2024,1, ,1600, , ,4,2,3, , , , , ,2,2,1,1,2,2,2,1
3,1,60,2,2,6,10,3,1,2016,3, ,1700, , ,3,5,2, , , , , ,1,1,1,2,2,1,2,1
3,2,34,11,2,4,6,2,1,2019,1, ,2200,1,5,3,2,4,5, , , , ,2,2,1,1,2,2,2,1
1,1,63,7,2,6,5,5,1,2013,3, ,2000,1,7,5, , , , , , , ,1,1,2,2,2,2,2,1
98,1,24,1,1,6,10,1,1,2013,1, ,2000, , ,5,3,2, , , , , ,1,2,1,1,2,2,2,1
2,1,69,8,2,7,12,8,1,2019,1, ,3000,3, ,5,2,7,3, , , , ,1,2,2,2,2,2,2,2
98,1,44,10,2,5,6,3,1,2024,4,1,1600,1,6,3, , , , , , , ,2,2,1,2,2,2,2,1
98,1,56,14,2,3,3,3,1,2017,2, ,2000,1,7,3,7,2,1, , , , ,1,2,1,1,1,2,1,1
4,1,63,14,2,6,7,4,1,2021,1, ,2500,1, ,3, , , , , , , ,1,1,2,2,2,2,2,1
2,1,46,3,2,5,10,5,1,2020,1, ,3500,3, ,8, , , , , , , ,2,1,1,1,1,1,2,1
2,1,45,3,2,5,10,4,1,2015,1, ,3800,3, ,3,6,5,1,8,4,7, ,1,2,1,2,2,1,2,1
98,1,59,2,2,6,5,3,1,2022,1, ,1300, , ,3, , , , , , , ,1,2,2,2,2,2,2,1
98,1,61,4,2,6,5,3,1,2023,1, ,2000,1, ,3, , , , , , , ,1,1,1,2,2,2,2,1
1,1,65,1,2,6,11,5,1,2014,1, ,2400,1, ,4,5,7,2, , , , ,2,1,1,1,2,1,2,1
98,2,52,1,2,6,5,2,2,2018,3, ,2000,1, ,3,5,2, , , , , ,1,1,2,2,2,2,2,1
98,1,45,1,2,5,4,4,2,2023,1, ,2200,3, ,2,4, , , , , , ,1,2,1,1,2,1,2,1
2,1,49,2,2,3,5,4,1,2016,3, ,1700,1,5,7,5,3,2, , , , ,2,1,1,2,2,2,2,1
98,1,65,2,2,6,7,2,1,2019,4,1,2400,1, ,3,5,2, , , , , ,1,2,1,2,2,1,2,1
3,1,55,8,2,6,12,5,1,2018,1, ,1600, , ,2, , , , , , , ,1,2,2,2,2,2,2,1
3,1,65,8,2,6,11,9,1,2013,1, ,3000,1, ,4,5,3,2, , , , ,1,2,2,2,2,2,2,1
2,1,61,1,2,6,10,5,1,2013,1, ,2000, , ,2, , , , , , , ,2,1,1,2,2,1,1,1
4,1,58,2,2,6,5,3,1,2021,1, ,1500,1, ,3,2,5, , , , , ,1,2,2,2,2,2,2,1
98,1,41,1,2,4,8,5,1,2018,3, ,2200,1,9,5,2,3, , , , , ,1,2,2,2,2,2,2,1
4,1,56,1,2,6,6,6,1,2019,4,1,2000, , ,5,2, , , , , , ,1,1,2,2,2,2,2,1
5,2,42,8,2,2,9,3,2,2017,1, ,2400,1, ,3,5,2, , , , , ,1,2,2,2,2,2,2,1
98,1,49,8,1,1,2,2,1,2023,5, , , , ,8,2,3,4, , , , ,1,1,1,2,2,2,1,2
2,1,55,15,2,5,6,4,1,2016,1, ,2400,1, ,5,7,1,4,6,3, , ,1,2,1,2,1,1,1,2
2,2,65,2,2,3,5,98,2,2022,1, ,1000, ,5,6,5, , , , , , ,1,2,2,2,2,2,2,1
98,1,61,8,1,1,2,2,2,2021,1, ,2000, , ,3,2, , , , , , ,1,2,2,2,2,2,2,2
98,2,57,8,2,6,6,3,1,2022,6, , ,1, ,3,2,5, , , , , ,1,2,2,2,2,2,2,1
98,2,39,14,2,5,3,99,2,2023,1, ,2000,1, ,98, , , , , , , ,1,2,1,2,2,2,2,1
98,1,54,3,2,6,10,5,1,2024,1, ,1000, ,5,2, , , , , , , ,1,2,2,2,2,2,2,1
98,1,61,1,2,6,5,5,1,2018,1, ,1600, , ,3,5,2, , , , , ,1,2,1,2,2,2,2,1
98,1,69,3,2,7,5,5,1,2024,1, ,1600,1, ,2,3,5, , , , , ,1,2,1,2,2,2,2,1
3,1,50,5,2,5,5,3,1,2013,2, ,2000,1,7,5,3,2, , , , , ,1,2,2,2,2,2,2,1
98,1,66,15,2,7,4,3,1,2016,1, ,3300,1, ,3,6,5,2, , , , ,2,2,1,2,2,1,2,1
2,1,54,15,2,5,8,8,1,2020,1, ,3000,1, ,3,7,5,6, , , , ,2,1,1,2,2,2,2,1
5,1,63,3,2,6,99,10,1,2016,1, ,3300,1, ,8,7,4,1,5, , , ,1,2,1,2,2,1,2,1
98,2,35,15,2,4,2,2,2,2013,1, ,1400, , ,5, , , , , , , ,1,1,2,2,1,2,2,1
5,1,41,15,2,5,10,5,1,2021,1, ,3800,1,7,7,1,4,2,8,3, , ,2,2,1,2,2,1,2,1
98,1,28,3,1,1,13,13,2,2024,1, ,3300,1, ,5,3, , , , , , ,1,2,1,2,2,1,1,2
2,1,40,4,2,5,9,6,1,2017,3, ,1700,1, ,7,3, , , , , , ,1,2,1,2,1,1,2,1
98,1,55,6,2,6,11,11,2,2013,1, ,2400,1, ,2,3, , , , , , ,1,1,2,2,2,2,2,1
3,1,60,8,2,6,10,6,1,2015,1, ,1000, ,5,2,5,3, , , , , ,1,1,1,2,2,2,2,1
98,2,31,12,1,1,3,3,1,2019,1, ,1600,1, ,5,3, , , , , , ,1,2,1,2,2,1,2,1
2,1,58,7,2,6,7,7,1,2013,1, ,3500,1, ,5, , , , , , , ,1,1,1,2,2,2,2,1
98,1,43,8,2,5,4,4,1,2016,1, ,1600,1, ,5, , , , , , , ,1,2,2,2,2,2,2,1
4,2,32,1,1,1,3,3, , , , , , , ,98, , , , , , , ,1,2,2,2,2,2,2,1
5,1,48,8,1,1,3,3,2,2022,2, ,2000, , ,5,2, , , , , , ,1,2,2,2,2,2,2,1
3,1,57,1,2,2,8,8,1,2019,1, ,2200,1,5,3,5,2, , , , , ,1,2,2,2,2,1,2,1
5,1,67,1,2,7,8,4,1,2020,5, , , , ,8,3,2, , , , , ,2,1,1,2,2,2,2,1
4,1,44,1,1,7,3,3,1,2019,4,1,2500,1, ,3,2, , , , , , ,1,2,1,2,2,2,2,1
3,1,53,8,2,5,10,10,1,2013,1, ,2400,1, ,5,4,2,3, , , , ,2,2,1,2,2,1,2,1
5,1,45,15,2,5,8,8,1,2022,1, ,3600,3, ,5, , , , , , , ,1,2,1,2,2,1,2,2
3,1,52,2,2,5,4,4,1,2023,1, ,1000, ,5,4,8,6, , , , , ,2,2,1,1,2,2,2,1
98,1,59,1,2,6,9,6,2,2021,1, ,2500,1, ,5,2,3, , , , , ,1,2,2,2,2,2,2,2
98,1,47,4,2,5,3,2,1,2017,1, ,1000, ,5,2, , , , , , , ,1,1,2,2,2,2,2,1
5,1,55,8,2,6,5,5,1,2023,2, ,1600, , ,3, , , , , , , ,2,2,2,2,2,2,1,1
1,1,50,8,2,5,12,11,1,2019,1, ,2400,1, ,5,6, , , , , , ,2,2,1,2,2,1,2,1
5,1,43,11,2,5,6,5,1,2019,3, ,2200,1,7,3, , , , , , , ,1,1,1,1,2,2,2,1
2,1,52,8,2,4,10,10,1,2020,5, , , , ,4,7,6,3, , , , ,2,1,1,2,1,1,2,1
98,1,59,8,2,6,99,99,1,2021,1, ,2200,1, ,5,3,2, , , , , ,2,1,2,2,2,2,2,1
2,1,51,4,2,6,5,3,1,2018,1, ,1700, , ,7, , , , , , , ,1,2,1,2,2,1,2,1
2,1,58,6,2,6,11,6,1,2022,1, ,2500,3, ,3, , , , , , , ,1,2,2,2,2,2,2,1
3,1,61,1,2,6,11,10, , , , , , , ,5, , , , , , , ,1,2,2,2,2,1,2,1
4,1,53,2,2,5,7,7,1,2018,1, ,2500,1, ,7,3, , , , , , ,2,2,2,2,2,2,2,1
5,1,45,8,2,3,7,4,2,2019,1, ,3500,3, ,4,7,5, , , , , ,2,2,1,2,1,1,1,2
4,2,43,8,2,5,9,98,1,2015,3, ,1600,1,7,2, , , , , , , ,2,1,2,2,2,2,2,1
98,1,53,3,97,1,5,5,1,2020,3, ,2200,2,5,8,3,7,4,1, , , ,1,2,1,1,1,1,2,1
98,1,55,6,2,5,8,7,1,2021,1, ,1500,1, ,2,5,3, , , , , ,1,1,1,2,2,1,2,1
2,1,62,1,2,5,11,10,1,2013,1, ,3800,1, ,7,5,3,2, , , , ,1,2,2,2,2,1,2,1
4,1,45,2,2,5,10,5,2,2016,1, ,3600,1, ,5,7, , , , , , ,1,2,1,2,1,2,1,2
4,1,62,8,2,6,5,2,1,2021,1, ,2000,1, ,5,2,3, , , , , ,1,2,1,2,2,1,2,1
5,1,54,1,1,1,4,4,1,2022,1, ,1300,1, ,5,7,3,2, , , , ,1,2,2,2,1,2,1,1
3,1,46,1,2,3,7,6,1,2021,2, ,3500,1, ,4, , , , , , , ,1,1,1,1,1,1,2,1
98,2,38,7,2,4,6,3,1,2018,3, ,1700,1, ,2, , , , , , , ,1,2,1,2,2,2,2,1
4,2,41,14,1,1,5,5,1,2017,1, ,1600,1, ,2,5, , , , , , ,1,2,2,2,2,2,2,1
98,1,54,1,97,6,4,4,1,2024,4,1,1600,1, ,3,5, , , , , , ,1,2,1,1,2,2,2,1
3,2,63,8,2,6,9,2,1,2017,1, ,2000, , ,3,5, , , , , , ,1,2,1,1,2,1,2,1
98,1,56,14,97,1,3,3,2,2023,3, ,2200,2,7,5,3,2, , , , , ,1,2,2,2,2,1,2,1
1,1,56,8,2,6,5,5,1,2013,2, ,2000,1,7,2,5,3, , , , , ,1,2,1,2,2,2,2,2
98,2,44,11,1,1,2,2,2,2021,1, ,1000, ,5,3,4,2,6,5, , , ,1,2,2,2,2,1,2,1
1,1,36,1,2,5,7,4,1,2015,1, ,1600, , ,3,1, , , , , , ,1,2,1,2,2,1,2,1
5,1,39,14,1,1,6,6,2,2024,1, ,2500,1, ,5,7, , , , , , ,1,2,1,2,1,2,2,1
4,1,42,5,2,4,7,7,2,2022,1, ,1600,1, ,2, , , , , , , ,2,2,1,2,2,2,2,1
98,1,54,1,2,6,6,6,1,2024,4,1,1600,1,5,5,8,2,3, , , , ,1,2,2,1,2,2,2,2
98,2,41,1,2,4,11,7,1,2020,1, ,3000,3, ,7,6,2,5, , , , ,2,2,1,2,1,1,2,1
4,1,55,8,2,6,10,5,1,2016,2, ,2000, , ,3,5,2, , , , , ,1,2,2,2,2,2,2,1
98,1,47,7,2,4,10,10,2,2015,1, ,2000, , ,6,7,2,3, , , , ,1,2,1,2,2,1,2,1
98,1,45,1,1,7,5,2,2,2013,1, ,2000, , ,1,4,5,3,8,2,7, ,1,1,1,2,2,2,2,1
3,1,32,8,2,4,99,3,1,2023,2, ,2000,1,5,7,3,4,6,5, , , ,1,2,1,2,2,2,2,1
4,1,50,8,97,1,5,5,2,2023,4,1,2400,1, ,3, , , , , , , ,1,2,1,2,2,2,2,1
5,1,54,1,2,6,11,9,1,2013,1, ,2400,1, ,8, , , , , , , ,1,1,1,2,2,2,2,1
2,1,72,1,2,7,3,3,1,2017,3, ,1600,1, ,3,5, , , , , , ,2,2,1,2,2,1,2,1
4,1,54,3,2,5,6,4,1,2020,3, ,2000,1,5,3,7,2, , , , , ,2,2,1,2,1,2,2,1
98,1,66,2,2,6,5,4,1,2017,1, ,2400,1, ,4,3,5, , , , , ,1,1,1,2,2,1,2,1
3,1,53,8,2,5,4,4,1,2023,3, ,2000,3, ,1,5,2,3, , , , ,2,1,1,2,1,2,2,1
2,1,42,2,1,1,10,10,1,2017,1, ,2000, , ,1, , , , , , , ,2,1,1,2,1,2,2,2
98,1,48,8,2,5,7,7,1,2024,4,1,1600,1,6,8,7,4,3, , , , ,1,2,1,1,1,1,2,2
