SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q1903,Q1907,Q190701,Q19070301,Q19070302,Q19070303
2,1,46,3,2,5,10,5,1,2020,1, ,3500,3, , ,4,1, , , 
2,1,45,3,2,5,10,4,1,2015,1, ,3800,3, ,1,1, , , , 
1,1,65,1,2,6,11,5,1,2014,1, ,2400,1, , ,1, , , , 
2,1,49,2,2,3,5,4,1,2016,3, ,1700,1,5,30,4,2, , , 
3,1,55,8,2,6,12,5,1,2018,1, ,1600, , ,17,3, , , , 
3,1,65,8,2,6,11,9,1,2013,1, ,3000,1, ,25,4,1, , , 
2,1,61,1,2,6,10,5,1,2013,1, ,2000, , ,12,1, , , , 
4,1,58,2,2,6,5,3,1,2021,1, ,1500,1, ,20,1, , , , 
4,1,56,1,2,6,6,6,1,2019,4,1,2000, , , ,4,1, , , 
2,1,55,15,2,5,6,4,1,2016,1, ,2400,1, ,22,1, , , , 
2,2,65,2,2,3,5,98,2,2022,1, ,1000, ,5,21,5, ,3,4,7
3,1,50,5,2,5,5,3,1,2013,2, ,2000,1,7,17,5, ,2,19,4
2,1,54,15,2,5,8,8,1,2020,1, ,3000,1, ,7,5, ,7,1,19
2,1,40,4,2,5,9,6,1,2017,3, ,1700,1, ,25,1, , , , 
3,1,60,8,2,6,10,6,1,2015,1, ,1000, ,5,24,4,1, , , 
2,1,58,7,2,6,7,7,1,2013,1, ,3500,1, ,21,4,2, , , 
4,2,32,1,1,1,3,3, , , , , , , , ,4,2, , , 
3,1,57,1,2,2,8,8,1,2019,1, ,2200,1,5,30,4,2, , , 
4,1,44,1,1,7,3,3,1,2019,4,1,2500,1, , ,4,2, , , 
3,1,53,8,2,5,10,10,1,2013,1, ,2400,1, ,25,4,2, , , 
3,1,52,2,2,5,4,4,1,2023,1, ,1000, ,5,5,5, ,14,8,3
1,1,50,8,2,5,12,11,1,2019,1, ,2400,1, ,2,4,2, , , 
2,1,52,8,2,4,10,10,1,2020,5, , , , ,25,4,2, , , 
2,1,51,4,2,6,5,3,1,2018,1, ,1700, , ,7,5, ,9,19,3
2,1,58,6,2,6,11,6,1,2022,1, ,2500,3, ,23,5, ,3,10,11
3,1,61,1,2,6,11,10, , , , , , , ,21,4,1, , , 
4,1,53,2,2,5,7,7,1,2018,1, ,2500,1, ,25,1, , , , 
4,2,43,8,2,5,9,98,1,2015,3, ,1600,1,7, ,1, , , , 
2,1,62,1,2,5,11,10,1,2013,1, ,3800,1, ,7,4,1, , , 
4,1,45,2,2,5,10,5,2,2016,1, ,3600,1, , ,5, ,2,3,10
4,1,62,8,2,6,5,2,1,2021,1, ,2000,1, ,7,1, , , , 
3,1,46,1,2,3,7,6,1,2021,2, ,3500,1, ,26,4,1, , , 
4,2,41,14,1,1,5,5,1,2017,1, ,1600,1, ,5,1, , , , 
3,2,63,8,2,6,9,2,1,2017,1, ,2000, , ,21,4,1, , , 
1,1,56,8,2,6,5,5,1,2013,2, ,2000,1,7,7,4,2, , , 
1,1,36,1,2,5,7,4,1,2015,1, ,1600, , ,9,4,2, , , 
4,1,42,5,2,4,7,7,2,2022,1, ,1600,1, ,9,1, , , , 
4,1,55,8,2,6,10,5,1,2016,2, ,2000, , , ,2, , , , 
3,1,32,8,2,4,99,3,1,2023,2, ,2000,1,5,9,4,2, , , 
4,1,50,8,97,1,5,5,2,2023,4,1,2400,1, ,5,4,1, , , 
2,1,72,1,2,7,3,3,1,2017,3, ,1600,1, , ,1, , , , 
4,1,54,3,2,5,6,4,1,2020,3, ,2000,1,5,17,6, , , , 
2,1,42,2,1,1,10,10,1,2017,1, ,2000, , ,12,1, , , , 
4,1,45,1,1,1,5,5,2,2019,1, ,2000, , ,25,1, , , , 
3,1,52,1,1,1,3,3,1,2014,1, ,1000, ,5,25,4,1, , , 
3,1,48,8,2,5,6,4,1,2014,1, ,1600, , ,21,4,1, , , 
1,2,44,1,2,5,10,3,1,2015,2, ,3300,1, ,20,1, , , , 
4,2,43,1,1,1,3,3,2,2013,1, ,1600, , , ,3, , , , 
4,1,45,15,1,7,4,3,2,2020,3, ,1600,1, , ,3, , , , 
2,1,60,8,2,3,3,3,1,2015,2, ,2000,1,7,20,4,2, , , 
4,1,55,14,2,5,10,8,1,2017,1, ,3300,3, ,7,1, , , , 
1,1,56,4,2,6,6,3,1,2015,1, ,1600, , ,25,5, ,11,2, 
4,1,32,5,1,1,2,2, , , , , , , , ,6, , , , 
4,1,42,1,2,5,11,10,1,2014,3, ,1600,1, ,7,4,1, , , 
4,1,55,8,2,6,11,7,1,2022,1, ,1300,1, ,7,3, , , , 
4,1,47,2,1,1,2,2, , , , , , , ,17,1, , , , 
1,1,51,1,2,6,8,7,1,2022,5, , , , ,2,5, ,4,19,11
1,1,54,8,2,6,7,6,1,2014,1, ,3300,1, ,21,4,1, , , 
4,1,51,12,1,6,6,4,2,2015,1, ,2000, , ,23,4,2, , , 
4,1,56,15,2,6,5,5,2,2015,1, ,1600, , ,21,4,1, , , 
2,1,49,1,2,5,12,12,1,2013,4,1,3000,1, ,20,4,1, , , 
3,1,48,8,2,5,6,6,1,2013,2, ,2000, , ,26,4,2, , , 
4,1,47,14,1,1,8,8,1,2019,1, ,2000, , ,23,1, , , , 
2,1,60,1,1,1,4,4,1,2022,1, ,1000,1, , ,4,2, , , 
3,1,68,1,2,7,5,4,1,2013,3, ,2000,2,5,16,4,1, , , 
1,1,65,1,2,7,9,3,1,2022,1, ,2500,3, ,2,1, , , , 
4,1,65,8,97,1,2,2,2,2014,1, ,1800, , ,19,1, , , , 
3,1,43,8,2,2,4,4,1,2013,3, ,2000, , ,6,1, , , , 
4,1,54,5,2,5,4,4,1,2013,2, ,2000, , ,24,2, , , , 
1,1,64,1,2,6,6,5,1,2020,1, ,2400,3, ,25,4,2, , , 
3,1,48,1,1,1,4,4,1,2018,1, ,1600, , ,30,4,1, , , 
1,1,52,1,2,6,11,10,1,2022,1, ,2500,1, ,7,4,1, , , 
3,1,63,8,2,6,8,5,2,2013,1, ,1000, ,5,9,1, , , , 
2,1,43,8,1,1,5,5, , , , , , , ,16,4,1, , , 
4,1,50,1,2,5,11,11,1,2017,1, ,3000,1, ,13,4,2, , , 
2,1,47,11,1,1,10,10,1,2020,3, ,2200,1,5,1,3, , , , 
1,1,63,8,2,7,5,5,1,2017,1, ,3600,1, ,11,1, , , , 
3,1,66,8,2,6,11,4,1,2015,1, ,1600, , ,24,1, , , , 
3,1,56,11,1,1,3,3,1,2014,1, ,1400, , ,24,1, , , , 
2,1,52,9,2,5,5,4,1,2022,5, , , , ,1,5, ,19,3,8
3,1,56,4,2,6,9,6,1,2022,1, ,1600,1, ,7,4,2, , , 
2,2,38,15,2,4,9,3,1,2015,3, ,2000,1, ,11,3, , , , 
2,1,54,1,1,6,8,8,1,2013,3, ,2400,1,7,22,1, , , , 
1,1,41,3,1,6,13,13,1,2013,1, ,2000,1, ,6,1, , , , 
2,1,60,6,2,6,10,3,1,2023,1, ,1600, , ,22,1, , , , 
4,1,60,5,2,6,10,6,1,2018,3, ,2200,1,5,2,5, ,1,4,2
4,2,56,12,1,1,1,1,1,2021,1, ,2500,1, ,7,1, , , , 
3,1,54,1,2,6,8,8,1,2021,1, ,1000, ,5,18,4,2, , , 
3,2,67,8,2,7,2,2, , , , , , , ,11,1, , , , 
2,1,29,3,1,6,6,98,2,2020,3, ,2000,1, , ,3, , , , 
4,1,52,8,2,6,10,10,1,2019,1, ,3000,1, ,26,1, , , , 
1,1,44,4,2,5,5,4,1,2016,1, ,2000, , ,27,4,1, , , 
4,1,27,15,1,1,7,7,1,2022,1, ,3500,3, ,2,3, , , , 
2,1,34,8,2,4,7,6, , , , , , , ,97,1, , , , 
2,1,62,8,2,6,9,3,2,2018,1, ,2000, , ,17,4,1, , , 
3,1,65,15,2,7,11,10,1,2022,3, ,2500,3, ,13,4,2, , , 
3,1,50,1,2,5,9,6,1,2016,3, ,2000,1,5,2,1, , , , 
3,1,45,4,1,1,2,2,1,2015,3, ,2000,1, ,22,3, , , , 
1,1,67,2,2,6,8,4,1,2021,3, ,2200,1,5,7,4,2, , , 
4,1,52,1,2,3,2,98,1,2014,1, ,2000, , , ,5, ,1,4,14
2,1,57,1,2,6,5,4,2,2021,4,1,2400,1, ,9,1, , , , 
3,1,48,6,1,1,2,2, , , , , , , ,21,1, , , , 
2,1,36,1,2,4,6,5,1,2015,1, ,2400, , ,7,1, , , , 
4,1,68,15,2,7,2,2,1,2013,1, ,1600, , ,20,4,1, , , 
2,1,44,7,2,5,6,6,1,2022,4,1,1600,1,7,20,1, , , , 
4,1,46,8,2,5,9,5,1,2022,4,1,1600, , ,9,4,1, , , 
2,1,64,2,97,6,2,2, , , , , , , ,10,4,1, , , 
2,1,59,3,2,6,5,3,1,2016,1, ,3800,3, ,7,5, ,5,1,8
1,1,61,1,2,6,7,7,1,2013,1, ,3300,1, ,15,1, , , , 
4,1,42,10,2,5,7,4,2,2019,3, ,2000,1,7,17,4,1, , , 
3,1,72,9,2,6,3,3,1,2013,1, ,3300,1, ,13,1, , , , 
4,1,41,6,2,5,4,4,2,2015,1, ,2400,1, ,26,4,2, , , 
1,1,65,3,2,6,7,5,1,2022,1, ,2500,3,5,30,1, , , , 
1,1,40,8,2,5,5,5,1,2022,4,1,1600,1,5,25,4,1, , , 
2,2,56,6,2,6,7,2,1,2020,1, ,3000,1, , ,1, , , , 
2,2,24,1,1,1,7,7,1,2023,1, ,2500,3, ,23,1, , , , 
1,1,68,2,2,7,3,2,1,2016,3, ,2000,1, ,25,1, , , , 
2,1,40,8,97,5,10,6,1,2018,5, , , , , ,5, ,5,9,3
2,1,44,6,2,3,11,10,1,2021,6, , ,1, ,29,5, ,11,2,4
4,1,66,1,2,6,5,4,1,2015,1, ,3800,3, ,22,1, , , , 
4,1,66,14,2,6,3,3, , , , , , , , ,5, ,2,19,4
2,1,48,8,2,5,6,4,1,2022,3, ,2200,1,7, ,5, ,4,3,5
3,1,53,1,2,6,4,4,1,2020,1, ,1600, , ,7,4,2, , , 
1,1,42,8,2,5,4,4,1,2016,1, ,1600,1, ,9,4,1, , , 
2,1,35,1,2,3,2,2,1,2014,3, ,2000,1,7,24,4,2, , , 
1,1,61,11,2,6,4,4,1,2022,1, ,1600,1, ,2,1, , , , 
1,1,42,11,1,1,1,1,1,2023,1, ,1600, , ,2,2, , , , 
4,1,61,10,2,7,5,3,1,2016,3, ,2200,1,5,30,4,1, , , 
2,1,61,11,2,6,5,4, , , , , , , ,30,4,2, , , 
1,1,39,7,2,4,3,3,2,2022,5, , , , ,10,5, ,3,2,9
2,1,55,11,97,6,5,5,2,2024,2, ,2400, , ,24,2, , , , 
2,1,53,8,2,5,10,6,1,2017,1, ,2300,3, ,21,4,2, , , 
4,1,27,6,1,1,2,2,2,2022,1, ,1000, , ,20,3, , , , 
4,1,30,15,1,1,3,3,1,2018,3, ,1500,1, ,12,3, , , , 
3,1,31,8,1,1,3,3,1,2023,1, ,2500,1, ,18,1, , , , 
2,1,30,6,1,1,2,2, , , , , , , ,11,1, , , , 
2,1,61,8,2,6,8,5,1,2021,4,1,2000, , ,20,5, ,11,9,2
4,1,39,8,2,5,4,4,2,2017,1, ,2400,1, ,20,4,1, , , 
4,1,66,8,2,6,8,5,1,2013,1, ,1600, , , ,3, , , , 
4,1,48,11,2,5,4,4,2,2018,2, ,2500,1, ,7,5, ,19,3,2
2,2,51,4,2,6,11,5,1,2017,3, ,1400,1, ,22,4,2, , , 
2,1,37,2,1,7,12,11,1,2021,1, ,2000,1, ,16,1, , , , 
3,1,44,4,2,5,6,6,1,2017,1, ,2000,1, ,14,1, , , , 
4,1,64,8,2,6,10,3,1,2020,4,1,1600,1,5,2,4,2, , , 
1,2,61,1,2,6,13,8,2,2013,1, ,2000, , ,26,1, , , , 
1,1,53,15,2,5,7,5,1,2013,3, ,2000,1,7,7,5, ,4,10,15
4,1,42,15,1,1,2,2,1,2015,3, ,2000,2, ,11,4,1, , , 
2,1,56,11,1,7,8,8,1,2021,1, ,1600,1, , ,1, , , , 
4,1,65,14,2,6,4,4,1,2013,1, ,3200,1, ,29,4,1, , , 
1,1,64,2,2,6,5,5,1,2013,3, ,2200,2,7,2,4,1, , , 
2,2,51,2,2,5,12,10,1,2018,1, ,1500,1, ,13,1, , , , 
4,1,42,2,1,6,7,3,1,2013,1, ,1000, ,5,25,4,1, , , 
1,1,46,1,2,5,2,2,1,2013,1, ,1800, , ,9,1, , , , 
4,1,68,4,2,6,3,3,1,2013,3, ,2000,1, , ,2, , , , 
3,1,56,1,2,6,6,6,2,2020,1, ,3800,3, ,2,1, , , , 
3,1,70,1,2,7,9,4,1,2019,1, ,1800,3, ,20,4,1, , , 
3,1,70,11,2,7,11,5,1,2022,1, ,2500,1, ,20,1, , , , 
2,1,73,4,2,7,3,3,1,2018,4,1,2400,1, ,21,5, ,7,3,17
2,2,52,4,2,2,9,2,1,2019,5, , , , ,10,5, ,1,9,3
3,1,46,1,2,5,6,6,1,2020,4,2,2000,3, ,8,4,2, , , 
1,1,41,1,2,4,6,4,2,2013,1, ,1600, , ,10,1, , , , 
2,2,37,8,2,3,7,2,1,2015,3, ,2200,2,7,13,3, , , , 
2,1,46,8,2,5,8,6,1,2019,3, ,2000,1,5,7,4,2, , , 
1,1,52,3,2,5,8,4,1,2020,2, ,2000, , ,2,5, ,19, , 
4,1,52,1,1,1,2,2, , , , , , , ,22,3, , , , 
2,1,49,8,2,6,7,6,1,2018,4,1,2400,1, ,22,4,1, , , 
3,1,67,8,2,6,3,1,1,2013,3, ,2000,1, ,17,1, , , , 
1,2,44,3,2,5,7,3,2,2021,1, ,1600, , ,30,4,2, , , 
2,1,56,10,2,7,7,5,1,2017,1, ,1000, , , ,1, , , , 
4,1,63,14,2,7,5,5,1,2019,3, ,2000,1,5,9,3, , , , 
3,2,52,1,2,6,11,3,1,2019,1, ,2000,1, , ,4,2, , , 
3,1,68,2,2,6,5,5,1,2013,1, ,1600, , ,29,1, , , , 
4,2,54,11,2,6,7,3,1,2022,5, , , , ,30,5, ,1,5,19
4,1,64,6,2,7,3,3,1,2018,1, ,3300,3, , ,1, , , , 
3,1,26,8,1,6,3,1,1,2019,1, ,4000,3, ,18,5, ,4,9,11
4,1,44,9,1,1,5,5,1,2016,1, ,3800,3, ,14,1, , , , 
3,1,44,8,1,1,2,2, , , , , , , , ,5, ,2,4,1
2,1,55,15,2,6,3,1,1,2013,1, ,2000, , ,9,1, , , , 
4,1,58,3,2,6,10,7,1,2015,3, ,2000,2,9, ,4,1, , , 
2,2,48,4,2,6,8,98,1,2020,1, ,1600,1, ,13,1, , , , 
3,1,55,9,2,6,10,7,1,2017,1, ,2400,1, ,10,5, ,4,11,14
3,1,41,3,2,5,2,2,1,2014,1, ,1600, , ,30,4,1, , , 
4,1,56,14,2,6,10,7,1,2016,1, ,5001, , ,1,1, , , , 
2,1,45,9,1,1,7,7,2,2013,1, ,1600, , , ,1, , , , 
2,1,35,17,1,1,4,4,2,2017,3, ,2200,1, ,8,1, , , , 
4,1,31,5,2,4,4,4,1,2017,1, ,1500,1, ,13,1, , , , 
4,2,30,8,1,6,8,1, , , , , , , ,16,2, , , , 
3,1,53,1,2,6,12,11,1,2023,1, ,2000,1, ,16,1, , , , 
3,1,45,15,2,5,6,6,2,2020,3, ,2000,1,7,30,4,1, , , 
2,1,35,3,1,1,3,3, , , , , , , ,30,1, , , , 
3,1,51,4,2,5,11,6,1,2015,3, ,2200,1,7,22,4,2, , , 
4,1,44,5,2,3,2,2,2,2023,3, ,2000,1, ,25,1, , , , 
4,1,38,8,2,3,6,5,2,2023,5, , , , ,21,5, ,3,2,11
4,1,49,1,2,5,8,5,2,2023,1, ,3300,1, ,12,4,2, , , 
3,1,60,11,2,5,11,11,1,2013,1, ,1800,1, ,9,1, , , , 
3,1,49,5,1,1,4,4,2,2021,4,1,2000, , ,29,4,2, , , 
1,2,44,2,1,1,5,5, , , , , , , , ,3, , , , 
1,1,48,8,2,5,13,11,1,2016,4,1,2000, , ,25,1, , , , 
4,1,50,6,1,7,6,4,1,2020,1, ,2200,1,5,30,1, , , , 
2,1,42,2,2,5,4,3,2,2015,1, ,1600, , ,20,4,1, , , 
2,1,57,1,2,7,8,8,1,2019,1, ,3000,1, , ,4,2, , , 
2,1,63,8,2,6,7,4,1,2016,1, ,2000, , ,7,1, , , , 
2,2,55,3,2,5,6,2,1,2020,1, ,2000, , ,21,1, , , , 
3,1,44,4,2,5,8,5,1,2019,3, ,2000,3,5,29,5, ,2,3,1
4,1,51,5,2,5,5,3,1,2018,3, ,2000,1,7,13,1, , , , 
4,2,46,1,2,5,7,7,1,2017,1, ,2000,2,7,30,4,1, , , 
1,1,53,1,1,6,5,5,2,2021,1, ,2700,1, ,10,1, , , , 
1,1,46,1,2,5,9,5,2,2013,1, ,1600, , ,21,4,1, , , 
1,2,51,8,2,4,11,5,1,2013,3, ,1800, , ,10,5, ,1,10,5
4,1,56,10,2,5,7,2, , , , , , , ,18,3, , , , 
3,2,59,8,2,6,5,3,1,2017,1, ,2000, , ,7,1, , , , 
3,1,43,6,2,4,8,5,2,2019,3, ,2000,3, , ,4,1, , , 
3,2,46,15,2,6,8,4,1,2014,3, ,1600,1, ,9,3, , , , 
1,1,58,8,2,6,11,10,1,2022,4,1,1600,1, ,13,4,1, , , 
1,1,52,8,2,6,4,3,1,2014,3, ,2000,1, ,10,5, ,3,18,2
2,2,37,8,2,4,4,1,1,2013,1, ,1400, , , ,5, ,2,10,4
4,1,60,3,2,6,11,9,1,2016,4,1,2400,1, ,30,4,1, , , 
4,1,37,1,1,1,10,10,1,2018,4,2,1600,1, ,9,4,1, , , 
4,1,44,4,2,4,10,7,1,2018,3, ,2200,2,7,16,4,2, , , 
2,2,62,15,2,6,9,6,2,2020,1, ,1600, , ,29,4,2, , , 
4,1,40,12,1,1,6,6,1,2013,2, ,2000, , ,20,4,1, , , 
3,1,43,1,2,3,3,3,1,2013,4,1,2000, , ,20,4,1, , , 
3,1,58,1,2,6,10,10,1,2020,1, ,3300,1, ,7,4,2, , , 
4,1,67,2,2,7,4,2,1,2021,1, ,1600,1, ,16,1, , , , 
4,1,43,11,2,4,4,2,1,2013,3, ,1600, , ,20,4,1, , , 
2,1,58,8,2,5,6,6,1,2016,1, ,2000, , ,22,1, , , , 
2,1,54,12,1,1,4,4,2,2020,1, ,2000, , , ,4,1, , , 
4,1,55,13,2,6,8,5,1,2016,3, ,2000,1,5,30,4,2, , , 
2,2,35,1,1,1,3,3,1,2018,1, ,2400,1, ,20,4,1, , , 
2,2,39,16,1,1,3,3, , , , , , , , ,3, , , , 
2,1,50,8,2,5,10,6,1,2021,3, ,2200,1,9,21,5, ,19,4,18
2,1,49,1,2,5,9,4,1,2020,5, , , , ,26,5, ,10,9,3
3,1,48,11,2,5,13,13,1,2021,1, ,2800,3, ,14,6, , , , 
3,2,42,2,2,5,5,98,1,2017,3, ,2400,2,7,20,4,2, , , 
4,2,62,8,2,6,8,1,1,2015,3, ,1500,1, ,1,1, , , , 
1,1,67,10,2,7,2,1,1,2022,1, ,1600,1, ,24,1, , , , 
2,1,36,1,1,6,7,3,1,2019,3, ,2200,2, ,26,4,2, , , 
2,1,67,3,2,7,3,3,1,2013,2, ,2000,1,7, ,1, , , , 
3,1,65,10,2,7,4,3,1,2014,3, ,2000,3, ,1,3, , , , 
2,1,54,8,2,6,12,10,1,2019,3, ,3500,3, ,1,4,2, , , 
1,2,28,14,1,6,2,1,2,2019,1, ,1000, ,5,25,1, , , , 
2,1,47,8,2,5,6,4,1,2021,1, ,1500,1, ,20,4,1, , , 
3,1,67,9,2,7,4,3,1,2013,1, ,2000, , ,13,1, , , , 
3,1,50,15,2,5,4,4,2,2013,3, ,2000,1,7,24,4,2, , , 
2,1,72,1,2,7,10,10,1,2016,4,1,2000, , ,7,1, , , , 
1,1,48,1,1,6,11,8,1,2015,1, ,3000,1, ,13,1, , , , 
4,1,48,6,2,5,5,5,1,2021,4,1,1600,1, ,22,4,1, , , 
3,1,50,8,2,5,8,4,1,2017,3, ,2000,1,7,20,4,1, , , 
1,1,60,16,2,6,11,6,1,2013,1, ,2000, , ,30,4,1, , , 
1,1,53,4,2,3,2,2,2,2023,1, ,2000,1, ,13,1, , , , 
2,2,71,1,2,6,8,2,2,2020,2, ,3000,1, ,7,2, , , , 
2,1,45,4,2,4,10,6,1,2016,3, ,2200,1,7,9,4,1, , , 
4,1,40,12,2,4,3,3,1,2019,5, , , , ,2,5, ,4,8,11
1,1,58,15,2,6,9,9,1,2013,1, ,1600, , ,10,1, , , , 
2,1,45,1,2,4,8,8,1,2017,1, ,2000, , ,20,4,1, , , 
2,1,45,1,2,5,7,7,2,2014,1, ,2500,1, ,21,4,2, , , 
3,1,52,8,1,1,4,4,1,2017,4,1,1600,1, ,20,4,1, , , 
3,2,53,8,97,6,7,7,1,2017,3, ,1500, , ,26,4,2, , , 
1,2,44,1,1,1,5,5,1,2015,1, ,1600, , , ,4,2, , , 
3,2,38,6,2,5,5,99,1,2020,1, ,1600,1, , ,1, , , , 
4,1,58,15,2,6,7,3,1,2018,4,1,2400,1, ,7,4,1, , , 
3,2,64,1,2,6,5,98,1,2018,1, ,2400,1, ,23,4,1, , , 
